State,Dem,Rep,Date,Pollster
FL,42,48,Oct 28 2016,Rasmussen
FL,44,42,Sep 11 2016,YouGov
FL,36.5,44.1,Nov 01 2016,Google Consumer Surveys
FL,42,37,Aug 26 2016,icitizen
FL,43,48,Oct 31 2016,Rasmussen
FL,44,42,Aug 26 2016,MasonDixon
FL,46.9,44.1,Oct 12 2016,InsiderAdvantage
FL,48.51,44.61,Oct 29 2016,IPSOS
FL,45,44,Oct 26 2016,Rasmussen
FL,49.4,43.6,Sep 20 2016,Saint Leo University
FL,48,39,Aug 16 2016,MonmouthU
FL,47,41,Oct 22 2016,Rasmussen
FL,41,43,Aug 24 2016,Florida Atlantic University
FL,43,44,Sep 07 2016,PPP
FL,47,45,Oct 07 2016,Gravis Marketing
FL,46.6,46.3,Sep 30 2016,InsiderAdvantage
FL,46,43,Oct 25 2016,Rasmussen
FL,48.01,44.38,Oct 22 2016,IPSOS
FL,46,41,Oct 24 2016,Rasmussen
FL,46.68,47.07,Nov 03 2016,IPSOS
FL,45,40,Jul 15 2016,Greenberg Quinlan Rosner (Democracy Corps)
FL,51.7,37.7,Aug 23 2016,Saint Leo University
FL,36.07,39.16,Oct 27 2016,Google Consumer Surveys
FL,41,44,Aug 24 2016,Cherry Communications
FL,47.57,41.81,Oct 15 2016,IPSOS
FL,47,44,Oct 28 2016,SurveyMonkey
FL,47,45,Nov 05 2016,SurveyMonkey
FL,43.2,38.8,Aug 04 2016,SuffolkU
FL,47,45,Nov 04 2016,SurveyMonkey
FL,45,40,Aug 14 2016,YouGov
FL,38.49,38.56,Oct 21 2016,Google Consumer Surveys
FL,45,47,Jul 11 2016,OnMessage Inc.
FL,47,44,Nov 03 2016,SurveyMonkey
FL,43,45,Oct 18 2016,SurveyMonkey
FL,47,44,Nov 02 2016,SurveyMonkey
FL,48.55,43.74,Oct 10 2016,IPSOS
FL,46,45,Nov 01 2016,SurveyMonkey
FL,47,44,Oct 27 2016,SurveyMonkey
FL,46,45,Oct 31 2016,SurveyMonkey
FL,47,34,Jun 29 2016,Evolving Strategies
FL,36.93,39.19,Oct 17 2016,Google Consumer Surveys
FL,42,47,Jul 11 2016,JMC Enterprises
FL,46,42,Jun 29 2016,SurveyUSA
FL,36.85,37.09,Oct 10 2016,Google Consumer Surveys
FL,47.55,46.4,Oct 03 2016,IPSOS
FL,47,44,Oct 26 2016,SurveyMonkey
FL,34.54,42.36,Oct 05 2016,Google Consumer Surveys
FL,45.2,44.3,Aug 11 2016,InsiderAdvantage
FL,49.08,45.16,Sep 26 2016,IPSOS
FL,45,42,Jun 03 2016,MasonDixon
FL,49,38,Jun 30 2016,Greenberg Quinlan Rosner (Democracy Corps)
FL,34.29,41.33,Sep 28 2016,Google Consumer Surveys
FL,46.33,49.84,Sep 16 2016,IPSOS
FL,42,40,Sep 06 2016,SurveyMonkey
FL,48.5,48.5,Jul 01 2016,Gravis Marketing
FL,30.25,43.12,Sep 22 2016,Google Consumer Surveys
FL,46.88,47.17,Sep 10 2016,IPSOS
FL,30.85,41.04,Sep 14 2016,Google Consumer Surveys
FL,44,41,Jun 26 2016,YouGov
FL,48.23,44.6,Sep 04 2016,IPSOS
FL,45.8,33.1,Jun 27 2016,Saint Leo University
FL,31.35,39.97,Sep 09 2016,Google Consumer Surveys
FL,49.05,41.88,Aug 26 2016,IPSOS
FL,48.52,41.41,Aug 24 2016,IPSOS
FL,30.85,39.89,Sep 09 2016,Google Consumer Surveys
FL,46,42,May 25 2016,Gravis Marketing
FL,49,36,May 02 2016,Associated Industries of Florida
FL,32.58,40.47,Sep 09 2016,Google Consumer Surveys
FL,34.48,38.4,Sep 09 2016,Google Consumer Surveys
FL,50,43,May 05 2016,CNN/Opinion Research Corp.
FL,45,38,Feb 09 2016,Florida Southern College
FL,51.7,34.2,Aug 23 2016,Saint Leo University
FL,44,47,Jan 20 2016,Florida Atlantic University
FL,41,49,Nov 19 2015,Florida Atlantic University
FL,49,41,Dec 21 2015,Saint Leo University
FL,44,46,May 05 2016,PPP
FL,40,41,Jun 07 2016,PPP
FL,46,43,Aug 11 2016,PPP
FL,46,41,Oct 03 2016,QuinnipiacU
FL,44,45,May 05 2016,SurveyUSA
FL,42,36,Jun 21 2016,QuinnipiacU
FL,43,42,May 10 2016,QuinnipiacU
FL,43,42,May 23 2016,YouGov
FL,41,36,Aug 12 2016,MaristColl
FL,49,41,May 05 2016,MaristColl
FL,41,36,Jul 15 2016,MaristColl
FL,36,41,Jul 13 2016,QuinnipiacU
FL,43,43,Sep 08 2016,QuinnipiacU
FL,43,43,Aug 09 2016,QuinnipiacU
GA,46,49,Nov 07 2016,Landmark Communications
GA,44,48,Nov 07 2016,Gravis Marketing
GA,43,49,Nov 07 2016,YouGov
GA,44,45,Nov 03 2016,MaristColl
GA,45.11,51.58,Nov 07 2016,Trafalgar Group
GA,45,45,Nov 08 2016,SurveyMonkey
GA,42,51,Nov 02 2016,Emerson College
GA,42,49,Oct 31 2016,SurveyUSA
GA,43,44,Oct 27 2016,QuinnipiacU
GA,42,44,Oct 21 2016,Time/Abt SRBI
GA,44.7,48.5,Nov 04 2016,InsiderAdvantage
GA,44,40,Oct 24 2016,The Times-Picayune/Lucid
GA,46,48,Nov 04 2016,Landmark Communications
GA,37.71,41.45,Nov 07 2016,Google Consumer Surveys
GA,42.38,47.79,Nov 07 2016,IPSOS
GA,43.1,45.8,Oct 19 2016,Clout Research/Wenzel Strategies
GA,40.5,45.4,Nov 07 2016,YouGov
GA,46.1,50.1,Oct 21 2016,InsiderAdvantage
GA,38,44,Sep 24 2016,JMC Enterprises
GA,45,45,Nov 07 2016,SurveyMonkey
GA,42,45,Sep 19 2016,MonmouthU
GA,42.3,47.8,Oct 13 2016,Landmark Communications
GA,40,47,Sep 22 2016,QuinnipiacU
GA,43,47,Oct 21 2016,Landmark Communications
GA,42,44,Sep 12 2016,MaristColl
GA,41.76,48.13,Nov 04 2016,IPSOS
GA,32.92,41.56,Nov 01 2016,Google Consumer Surveys
GA,39,45,Sep 15 2016,Emerson College
GA,43.11,47.84,Oct 29 2016,IPSOS
GA,42,46.3,Sep 15 2016,InsiderAdvantage
GA,34.06,40.4,Oct 27 2016,Google Consumer Surveys
GA,43.25,48.41,Nov 03 2016,IPSOS
GA,42.9,46.5,Sep 24 2016,Landmark Communications
GA,41,45,Aug 14 2016,YouGov
GA,45,45,Nov 05 2016,SurveyMonkey
GA,44,45,Oct 28 2016,SurveyMonkey
GA,40.91,49.4,Oct 22 2016,IPSOS
GA,44,46,Nov 04 2016,SurveyMonkey
GA,33.26,42.1,Oct 21 2016,Google Consumer Surveys
GA,41,38,Aug 05 2016,Time/Abt SRBI
GA,42,46,Aug 01 2016,SurveyUSA
GA,45,45,Nov 03 2016,SurveyMonkey
GA,44,45,Nov 02 2016,SurveyMonkey
GA,41.51,50.04,Oct 15 2016,IPSOS
GA,41,40,Jul 25 2016,Lake Research Partners
GA,44,46,Nov 01 2016,SurveyMonkey
GA,44,37,Aug 08 2016,JMC Enterprises
GA,44,46,Oct 31 2016,SurveyMonkey
GA,39,43,Aug 11 2016,Gravis Marketing
GA,30.22,41.25,Oct 17 2016,Google Consumer Surveys
GA,44,46,Oct 27 2016,SurveyMonkey
GA,42.8,43,Aug 18 2016,InsiderAdvantage
GA,45,41,Oct 18 2016,SurveyMonkey
GA,38.11,50.98,Oct 03 2016,IPSOS
GA,42.71,46.04,Sep 26 2016,IPSOS
GA,30.76,42.67,Oct 10 2016,Google Consumer Surveys
GA,28.89,43.74,Oct 05 2016,Google Consumer Surveys
GA,44,47,Oct 26 2016,SurveyMonkey
GA,38,45,Jun 01 2016,PPP
GA,46,46,Aug 01 2016,Landmark Communications
GA,31.5,39.2,Sep 28 2016,Google Consumer Surveys
GA,39.99,47.77,Sep 16 2016,IPSOS
GA,30.02,44.88,Sep 22 2016,Google Consumer Surveys
GA,39,40,Sep 06 2016,SurveyMonkey
GA,37.89,48.39,Sep 10 2016,IPSOS
GA,31.01,39.72,Sep 14 2016,Google Consumer Surveys
GA,44.2,45.5,Jul 25 2016,Landmark Communications
GA,41.1,47.01,Sep 04 2016,IPSOS
GA,31.85,40.74,Sep 09 2016,Google Consumer Surveys
GA,43.33,46.33,Aug 26 2016,IPSOS
GA,41,45,May 16 2016,Time/Abt SRBI
GA,25.87,43.94,Sep 09 2016,Google Consumer Surveys
GA,27.58,44.61,Sep 09 2016,Google Consumer Surveys
GA,41.99,46.04,Aug 24 2016,IPSOS
GA,50,37,Apr 18 2016,Lake Research Partners
GA,27.63,41.69,Sep 09 2016,Google Consumer Surveys
GA,41,44,May 18 2016,InsiderAdvantage
GA,41,50,Feb 26 2016,SurveyUSA
GA,41,42,May 09 2016,Landmark Communications
GA,43.1,48.05,Oct 10 2016,IPSOS
HI,52,28,Nov 08 2016,SurveyMonkey
HI,52,29,Nov 07 2016,SurveyMonkey
HI,50.3,27.9,Nov 07 2016,YouGov
HI,47.31,28.75,Nov 07 2016,IPSOS
HI,43.62,28.72,Nov 07 2016,Google Consumer Surveys
HI,45.23,23.66,Nov 01 2016,Google Consumer Surveys
HI,49,31,Oct 28 2016,SurveyMonkey
HI,46.73,27.11,Oct 27 2016,Google Consumer Surveys
HI,49.02,27.28,Oct 21 2016,Google Consumer Surveys
HI,53,28,Nov 05 2016,SurveyMonkey
HI,52,29,Nov 04 2016,SurveyMonkey
HI,52,31,Nov 03 2016,SurveyMonkey
HI,51,30,Nov 02 2016,SurveyMonkey
HI,51,32,Nov 01 2016,SurveyMonkey
HI,49,33,Oct 27 2016,SurveyMonkey
HI,52,31,Oct 31 2016,SurveyMonkey
HI,51.35,20.4,Oct 17 2016,Google Consumer Surveys
HI,49.42,29.17,Oct 10 2016,Google Consumer Surveys
HI,49,34,Oct 26 2016,SurveyMonkey
HI,62.08,16.96,Oct 05 2016,Google Consumer Surveys
HI,42.4,21.69,Sep 28 2016,Google Consumer Surveys
HI,51,25,Sep 06 2016,SurveyMonkey
HI,40.16,21.25,Sep 14 2016,Google Consumer Surveys
HI,43.2,31.59,Sep 22 2016,Google Consumer Surveys
HI,47.31,27.69,Sep 09 2016,Google Consumer Surveys
HI,41.35,23.55,Sep 09 2016,Google Consumer Surveys
HI,42.98,22.49,Sep 09 2016,Google Consumer Surveys
HI,53.27,22.95,Sep 09 2016,Google Consumer Surveys
IA,39,46,Nov 05 2016,Selzer
IA,41,44,Nov 03 2016,RABA Research
IA,38,47,Nov 08 2016,SurveyMonkey
IA,41,44,Nov 04 2016,Emerson College
IA,44,44,Oct 27 2016,QuinnipiacU
IA,44.2,43.4,Nov 05 2016,Loras College
IA,35.57,33.72,Nov 07 2016,Google Consumer Surveys
IA,41,37,Oct 21 2016,The Times-Picayune/Lucid
IA,44.07,43.87,Nov 07 2016,IPSOS
IA,40.4,37.3,Nov 07 2016,YouGov
IA,39,43,Oct 08 2016,Selzer
IA,37,47,Nov 07 2016,SurveyMonkey
IA,37,45,Sep 15 2016,MonmouthU
IA,37,44,Sep 22 2016,QuinnipiacU
IA,45,43,Sep 07 2016,PPP
IA,37.7,38.3,Sep 26 2016,Loras College
IA,37.55,30.16,Nov 01 2016,Google Consumer Surveys
IA,40,40,Aug 21 2016,YouGov
IA,39,44,Sep 02 2016,Emerson College
IA,39,40,Sep 12 2016,RABA Research
IA,35,35,Aug 09 2016,MaristColl
IA,40.17,30.78,Oct 27 2016,Google Consumer Surveys
IA,36,37,Aug 11 2016,SuffolkU
IA,44.39,41.78,Oct 29 2016,IPSOS
IA,45.04,44.16,Nov 04 2016,IPSOS
IA,41,39,Aug 17 2016,QuinnipiacU
IA,37,47,Nov 05 2016,SurveyMonkey
IA,41,44,Oct 28 2016,SurveyMonkey
IA,45.62,42.61,Oct 22 2016,IPSOS
IA,34.22,32.63,Oct 21 2016,Google Consumer Surveys
IA,40,45,Oct 18 2016,SurveyMonkey
IA,37,47,Nov 04 2016,SurveyMonkey
IA,37,37,Jul 13 2016,MaristColl
IA,39,37,Jul 13 2016,Gravis Marketing
IA,42,44,Jul 12 2016,MonmouthU
IA,44.74,44.49,Oct 15 2016,IPSOS
IA,37,47,Nov 03 2016,SurveyMonkey
IA,39,40,Jul 17 2016,YouGov
IA,41,44,Oct 27 2016,SurveyMonkey
IA,32.59,35.59,Oct 17 2016,Google Consumer Surveys
IA,40,45,Nov 01 2016,SurveyMonkey
IA,39,45,Nov 02 2016,SurveyMonkey
IA,44.43,46.18,Oct 10 2016,IPSOS
IA,40,44,Oct 31 2016,SurveyMonkey
IA,38,36,Jun 29 2016,Evolving Strategies
IA,41,39,Jun 27 2016,PPP
IA,36.61,27.19,Oct 10 2016,Google Consumer Surveys
IA,42.15,48.82,Oct 03 2016,IPSOS
IA,40,44,Oct 26 2016,SurveyMonkey
IA,38.14,29.27,Oct 05 2016,Google Consumer Surveys
IA,44,31,Jun 30 2016,Loras College
IA,40.51,50.74,Sep 26 2016,IPSOS
IA,36.2,29.81,Sep 28 2016,Google Consumer Surveys
IA,36,40,Sep 06 2016,SurveyMonkey
IA,40.55,49.46,Sep 16 2016,IPSOS
IA,44,41,Jun 16 2016,PPP
IA,29.97,30.86,Sep 22 2016,Google Consumer Surveys
IA,41.39,43.91,Sep 10 2016,IPSOS
IA,30.38,35.27,Sep 14 2016,Google Consumer Surveys
IA,41.18,44.18,Sep 04 2016,IPSOS
IA,36.29,30.31,Sep 09 2016,Google Consumer Surveys
IA,43.05,39.52,Aug 26 2016,IPSOS
IA,41.22,41.45,Aug 24 2016,IPSOS
IA,33.58,32.81,Sep 09 2016,Google Consumer Surveys
IA,40.4,33.02,Sep 09 2016,Google Consumer Surveys
IA,37.83,28.17,Sep 09 2016,Google Consumer Surveys
IA,42,42,Jun 02 2016,PPP
IA,41,40,Dec 07 2015,Morning Consult
IA,45,43,Dec 21 2015,PPP
IA,48,40,Jan 10 2016,MaristColl
ID,23,52,Oct 25 2016,Emerson College
ID,29,47,Nov 08 2016,SurveyMonkey
ID,29,48,Oct 27 2016,Rasmussen
ID,29,41,Oct 30 2016,Google Consumer Surveys
ID,30.38,34.5,Nov 07 2016,Google Consumer Surveys
ID,30.06,53.26,Nov 07 2016,IPSOS
ID,30,40,Oct 18 2016,DanJones
ID,29,47,Nov 07 2016,SurveyMonkey
ID,25.3,44.8,Nov 07 2016,YouGov
ID,21.81,44.25,Nov 01 2016,Google Consumer Surveys
ID,27.77,37.57,Oct 27 2016,Google Consumer Surveys
ID,30.1,53.87,Oct 29 2016,IPSOS
ID,29,48,Oct 28 2016,SurveyMonkey
ID,29.97,51.68,Nov 04 2016,IPSOS
ID,23,44,Sep 06 2016,DanJones
ID,30,47,Nov 05 2016,SurveyMonkey
ID,26.63,38.39,Oct 21 2016,Google Consumer Surveys
ID,30,49,Nov 04 2016,SurveyMonkey
ID,30,49,Nov 03 2016,SurveyMonkey
ID,35.13,50.7,Oct 22 2016,IPSOS
ID,31,49,Nov 01 2016,SurveyMonkey
ID,29,49,Oct 27 2016,SurveyMonkey
ID,32,47,Nov 02 2016,SurveyMonkey
ID,23.38,33.65,Oct 17 2016,Google Consumer Surveys
ID,31,49,Oct 31 2016,SurveyMonkey
ID,31.26,54.18,Oct 15 2016,IPSOS
ID,24.82,32.89,Oct 10 2016,Google Consumer Surveys
ID,31.01,55.22,Oct 10 2016,IPSOS
ID,29,50,Oct 26 2016,SurveyMonkey
ID,27.19,42.68,Oct 05 2016,Google Consumer Surveys
ID,25,44,Sep 06 2016,SurveyMonkey
ID,27.39,59.62,Oct 03 2016,IPSOS
ID,32.19,54.9,Sep 26 2016,IPSOS
ID,22.61,46.46,Sep 28 2016,Google Consumer Surveys
ID,23,44,Jul 18 2016,DanJones
ID,31.94,56.14,Sep 16 2016,IPSOS
ID,18.72,43.51,Sep 22 2016,Google Consumer Surveys
ID,11.78,42.37,Sep 14 2016,Google Consumer Surveys
ID,30.1,55.85,Sep 10 2016,IPSOS
ID,24.67,35.73,Sep 09 2016,Google Consumer Surveys
ID,27.92,58.08,Sep 04 2016,IPSOS
ID,25.17,35.94,Sep 09 2016,Google Consumer Surveys
ID,29.2,49.24,Aug 26 2016,IPSOS
ID,25.88,36.13,Sep 09 2016,Google Consumer Surveys
ID,30.39,44.22,Aug 24 2016,IPSOS
ID,24.07,40.41,Sep 09 2016,Google Consumer Surveys
ID,32,49,Jun 18 2016,DanJones
ID,32,49,Jun 02 2016,DanJones
IL,52,35,Nov 08 2016,SurveyMonkey
IL,51.2,36.1,Oct 24 2016,Victory Research
IL,53,41,Nov 01 2016,Emerson College
IL,45,34,Nov 01 2016,Loras College
IL,38.27,31.55,Nov 07 2016,Google Consumer Surveys
IL,51.3,39.08,Nov 07 2016,IPSOS
IL,50,31.5,Oct 20 2016,Illinois Public Opinion Strategies
IL,53.2,28.4,Oct 04 2016,SouthernIllinoisU
IL,48.3,33.1,Nov 07 2016,YouGov
IL,50,33,Oct 07 2016,GlobalStrategy
IL,52,35,Nov 07 2016,SurveyMonkey
IL,51.24,32.71,Sep 13 2016,We Ask America
IL,44.5,38.7,Sep 22 2016,Emerson College
IL,48.6,35.1,Oct 02 2016,Victory Research
IL,43,30,Sep 19 2016,Loras College
IL,51.74,38.99,Nov 04 2016,IPSOS
IL,55.55,34.57,Oct 29 2016,IPSOS
IL,42.66,28.26,Nov 01 2016,Google Consumer Surveys
IL,57.33,27.64,Oct 22 2016,IPSOS
IL,50.68,39.83,Nov 03 2016,IPSOS
IL,51,32,Aug 08 2016,Normington Petts & Associates
IL,51,34,Oct 28 2016,SurveyMonkey
IL,53,36,Nov 05 2016,SurveyMonkey
IL,37.07,30.39,Oct 27 2016,Google Consumer Surveys
IL,60.31,27.44,Oct 15 2016,IPSOS
IL,46.4,32.5,Aug 02 2016,Basswood Research
IL,52,37,Nov 04 2016,SurveyMonkey
IL,57.49,31.29,Oct 10 2016,IPSOS
IL,53,36,Nov 03 2016,SurveyMonkey
IL,52,34,Oct 27 2016,SurveyMonkey
IL,52,35,Nov 02 2016,SurveyMonkey
IL,52,35,Nov 01 2016,SurveyMonkey
IL,38.96,29.27,Oct 21 2016,Google Consumer Surveys
IL,53,34,Oct 31 2016,SurveyMonkey
IL,49.2,35.6,Oct 20 2016,Illinois Public Opinion Strategies
IL,51,32,Aug 08 2016,Normington Petts & Associates
IL,51,34,Jul 17 2016,Victory Research
IL,48.3,29.5,Jun 22 2016,Political Callers Inc.
IL,52.71,33.37,Oct 03 2016,IPSOS
IL,36.05,32.23,Oct 17 2016,Google Consumer Surveys
IL,52,34,Oct 26 2016,SurveyMonkey
IL,45,31,Sep 06 2016,SurveyMonkey
IL,39.07,29.52,Oct 10 2016,Google Consumer Surveys
IL,53.43,30.81,Sep 26 2016,IPSOS
IL,42.41,25.35,Oct 05 2016,Google Consumer Surveys
IL,51.5,36.18,Sep 16 2016,IPSOS
IL,47,35,Jun 13 2016,We Ask America
IL,51.65,33.86,Sep 10 2016,IPSOS
IL,36.79,30.29,Sep 28 2016,Google Consumer Surveys
IL,39.01,29.4,Sep 22 2016,Google Consumer Surveys
IL,49.97,36.68,Sep 04 2016,IPSOS
IL,37.79,29.41,Sep 14 2016,Google Consumer Surveys
IL,56.22,29.58,Aug 24 2016,IPSOS
IL,52.63,26.24,Aug 26 2016,IPSOS
IL,57,32,May 05 2016,MaristColl
IL,34.91,29.27,Sep 09 2016,Google Consumer Surveys
IL,34.63,28.61,Sep 09 2016,Google Consumer Surveys
IL,35.37,28.77,Sep 09 2016,Google Consumer Surveys
IL,37.04,26.64,Sep 09 2016,Google Consumer Surveys
IL,36.5,27.5,Jun 18 2016,Ogden & Fry
IN,35,52,Nov 08 2016,SurveyMonkey
IN,37,48,Nov 04 2016,PublicOpinionStrat
IN,39,50,Oct 31 2016,MonmouthU
IN,39,49,Nov 04 2016,Gravis Marketing
IN,33.93,36.45,Nov 07 2016,Google Consumer Surveys
IN,37,43,Oct 21 2016,The Times-Picayune/Lucid
IN,37,43,Oct 20 2016,Ball State University
IN,37.79,53.68,Nov 07 2016,IPSOS
IN,41,45,Oct 14 2016,MonmouthU
IN,38,49,Oct 25 2016,Gravis Marketing
IN,36.6,43.8,Nov 07 2016,YouGov
IN,38,43,Oct 06 2016,PublicOpinionStrat
IN,35,52,Nov 07 2016,SurveyMonkey
IN,37.96,52.81,Nov 04 2016,IPSOS
IN,38.9,53.54,Oct 29 2016,IPSOS
IN,36.46,33.82,Nov 01 2016,Google Consumer Surveys
IN,36,43,Sep 09 2016,PublicOpinionStrat
IN,36,47,Aug 17 2016,MonmouthU
IN,36.17,53.24,Nov 03 2016,IPSOS
IN,34.08,33.95,Oct 27 2016,Google Consumer Surveys
IN,38.42,49.04,Oct 22 2016,IPSOS
IN,44,44,Aug 15 2016,Expedition Strategies
IN,35,53,Nov 05 2016,SurveyMonkey
IN,36,50,Oct 28 2016,SurveyMonkey
IN,38.27,47.14,Oct 15 2016,IPSOS
IN,36,50,Jul 27 2016,Tarrance Group
IN,35.95,33.04,Oct 21 2016,Google Consumer Surveys
IN,35,52,Nov 04 2016,SurveyMonkey
IN,36,51,Nov 03 2016,SurveyMonkey
IN,37.21,50.31,Oct 10 2016,IPSOS
IN,35,50,Oct 27 2016,SurveyMonkey
IN,37,52,Nov 02 2016,SurveyMonkey
IN,37,51,Nov 01 2016,SurveyMonkey
IN,38.24,32.72,Oct 17 2016,Google Consumer Surveys
IN,37,49,Oct 31 2016,SurveyMonkey
IN,30,46,Sep 06 2016,SurveyMonkey
IN,35.88,53.16,Oct 03 2016,IPSOS
IN,36.04,35.07,Oct 10 2016,Google Consumer Surveys
IN,35,48,Oct 26 2016,SurveyMonkey
IN,34.92,53.53,Sep 26 2016,IPSOS
IN,41,48,May 02 2016,MaristColl
IN,35.1,32.52,Oct 05 2016,Google Consumer Surveys
IN,33.33,53.13,Sep 16 2016,IPSOS
IN,31,40,May 31 2016,Bellwether Research & Consulting
IN,36.14,33.29,Sep 28 2016,Google Consumer Surveys
IN,32.07,55.94,Sep 10 2016,IPSOS
IN,31.89,32.25,Sep 22 2016,Google Consumer Surveys
IN,32.08,55.66,Sep 04 2016,IPSOS
IN,30.92,31.52,Sep 14 2016,Google Consumer Surveys
IN,34.06,55.4,Aug 26 2016,IPSOS
IN,29.21,35.57,Sep 09 2016,Google Consumer Surveys
IN,36.31,54.13,Aug 24 2016,IPSOS
IN,34.59,30.45,Sep 09 2016,Google Consumer Surveys
IN,39,47,Jun 02 2016,PublicOpinionStrat
IN,31.81,35.98,Sep 09 2016,Google Consumer Surveys
IN,31.62,35.74,Sep 09 2016,Google Consumer Surveys
KS,38,49,Nov 02 2016,SurveyUSA
KS,36,49,Nov 08 2016,SurveyMonkey
KS,34,58,Nov 04 2016,Fort Hays State University
KS,36,47,Oct 19 2016,SurveyUSA
KS,41.28,31,Nov 07 2016,Google Consumer Surveys
KS,38.22,54.45,Nov 07 2016,IPSOS
KS,31.6,47.5,Nov 07 2016,YouGov
KS,36,48,Nov 07 2016,SurveyMonkey
KS,37,44,Sep 02 2016,Remington
KS,39,47,Oct 30 2016,Fort Hays State University
KS,39.89,30.88,Nov 01 2016,Google Consumer Surveys
KS,36,48,Sep 13 2016,SurveyUSA
KS,36.26,32.61,Oct 27 2016,Google Consumer Surveys
KS,36,47,Oct 28 2016,SurveyMonkey
KS,38.44,51.94,Oct 29 2016,IPSOS
KS,37.62,52.76,Nov 07 2016,IPSOS
KS,36,48,Nov 05 2016,SurveyMonkey
KS,37.87,50.29,Oct 22 2016,IPSOS
KS,36,49,Nov 04 2016,SurveyMonkey
KS,38.59,29.67,Oct 21 2016,Google Consumer Surveys
KS,37,48,Nov 03 2016,SurveyMonkey
KS,37,48,Nov 02 2016,SurveyMonkey
KS,36,48,Oct 27 2016,SurveyMonkey
KS,36,47,Nov 01 2016,SurveyMonkey
KS,37.9,50.27,Oct 15 2016,IPSOS
KS,36,47,Oct 31 2016,SurveyMonkey
KS,45.87,26.74,Oct 17 2016,Google Consumer Surveys
KS,34.85,55.3,Oct 10 2016,IPSOS
KS,36,48,Oct 26 2016,SurveyMonkey
KS,40.37,30.72,Oct 10 2016,Google Consumer Surveys
KS,34.4,53.56,Oct 03 2016,IPSOS
KS,36.39,28.62,Oct 05 2016,Google Consumer Surveys
KS,35.91,50.8,Sep 26 2016,IPSOS
KS,42.95,30.92,Sep 28 2016,Google Consumer Surveys
KS,43,36,Jun 14 2016,Zogby
KS,27,44,Jul 24 2016,Fort Hays State University
KS,38.88,49.42,Sep 16 2016,IPSOS
KS,30,43,Sep 06 2016,SurveyMonkey
KS,41.3,29.59,Sep 22 2016,Google Consumer Surveys
KS,38.27,51.62,Sep 10 2016,IPSOS
KS,37.26,28.56,Sep 14 2016,Google Consumer Surveys
KS,36.4,33.94,Sep 09 2016,Google Consumer Surveys
KS,37.02,52.45,Sep 04 2016,IPSOS
KS,37.35,47.97,Aug 26 2016,IPSOS
KS,43.82,26.61,Sep 09 2016,Google Consumer Surveys
KS,37.04,47.54,Aug 24 2016,IPSOS
KS,40.04,26.88,Sep 09 2016,Google Consumer Surveys
KS,34.98,30.11,Sep 09 2016,Google Consumer Surveys
KS,36,46,Mar 04 2016,Fort Hays State University
KS,36,47,Jul 14 2016,SurveyUSA
KS,39,44,Aug 09 2016,SurveyUSA
KY,35,54,Nov 08 2016,SurveyMonkey
KY,32,56,Oct 31 2016,Cygnal Political
KY,24.8,38.2,Nov 03 2016,Google Consumer Surveys
KY,37,54,Nov 01 2016,Western Kentucky University
KY,31.9,43.89,Nov 07 2016,Google Consumer Surveys
KY,37.64,58.29,Nov 07 2016,IPSOS
KY,32.2,52.2,Nov 07 2016,YouGov
KY,28.4,31.8,Oct 18 2016,Google Consumer Surveys
KY,35,53,Nov 07 2016,SurveyMonkey
KY,29.49,41.4,Nov 01 2016,Google Consumer Surveys
KY,23.9,35.4,Oct 18 2016,Google Consumer Surveys
KY,37.65,56.14,Oct 29 2016,IPSOS
KY,36.01,59.44,Nov 04 2016,IPSOS
KY,33.81,36.79,Oct 27 2016,Google Consumer Surveys
KY,36,54,Nov 05 2016,SurveyMonkey
KY,33.15,43.68,Oct 21 2016,Google Consumer Surveys
KY,41.04,51.6,Oct 22 2016,IPSOS
KY,35,55,Nov 04 2016,SurveyMonkey
KY,36,49,Aug 04 2016,Harper Polling
KY,30,61,Oct 28 2016,SurveyMonkey
KY,35,56,Nov 03 2016,SurveyMonkey
KY,37.27,57.06,Oct 10 2016,IPSOS
KY,29.49,41.89,Oct 17 2016,Google Consumer Surveys
KY,34,57,Nov 02 2016,SurveyMonkey
KY,29,60,Oct 27 2016,SurveyMonkey
KY,31,58,Nov 01 2016,SurveyMonkey
KY,37.76,56.38,Oct 03 2016,IPSOS
KY,31,59,Oct 31 2016,SurveyMonkey
KY,36.44,36.64,Oct 05 2016,Google Consumer Surveys
KY,25,41,Aug 08 2016,Google Consumer Surveys
KY,35.39,34,Oct 10 2016,Google Consumer Surveys
KY,37.31,53.57,Sep 26 2016,IPSOS
KY,35.33,53.99,Sep 16 2016,IPSOS
KY,28.3,33.6,Jul 11 2016,Google Consumer Surveys
KY,29,60,Oct 26 2016,SurveyMonkey
KY,29,52,Sep 06 2016,SurveyMonkey
KY,32.6,35.16,Sep 28 2016,Google Consumer Surveys
KY,29.61,40.67,Sep 22 2016,Google Consumer Surveys
KY,32.16,43.82,Sep 14 2016,Google Consumer Surveys
KY,37.01,53.27,Sep 10 2016,IPSOS
KY,29.48,40.03,Sep 09 2016,Google Consumer Surveys
KY,41.76,46.34,Sep 04 2016,IPSOS
KY,36.67,32.51,Sep 09 2016,Google Consumer Surveys
KY,43.04,45.34,Aug 26 2016,IPSOS
KY,34.88,39.74,Sep 09 2016,Google Consumer Surveys
KY,41.02,47.01,Aug 24 2016,IPSOS
